state,county_name,metro,some_college,female_pct
AL,Autauga County,1,60.5,51.51
AL,Baldwin County,1,67.11,51.51
AL,Barbour County,0,35.61,47.08
AL,Bibb County,1,40.14,46.73
AL,Blount County,1,55.75,50.76
AL,Bullock County,0,32.17,45.47
AL,Butler County,0,40.3,53.6
AL,Calhoun County,1,58.84,52.04
AL,Chambers County,0,49.8,52.2
AL,Cherokee County,0,48.01,50.66
AL,Chilton County,1,40.13,50.93
AL,Choctaw County,0,59.67,52.83
AL,Clarke County,0,40.95,52.79
AL,Clay County,0,34.23,51.29
AL,Cleburne County,0,45.61,50.77
AL,Coffee County,0,64.45,50.82
AL,Colbert County,1,52.56,52.19
AL,Conecuh County,0,39.38,52.28
AL,Coosa County,0,40.12,49.97
AL,Covington County,0,52.58,51.61
AL,Crenshaw County,0,47.24,51.46
AL,Cullman County,0,53.15,50.57
AL,Dale County,0,58.04,50.76
AL,Dallas County,0,52.02,53.82
AL,DeKalb County,0,45.71,50.25
AL,Elmore County,1,54.92,51.69
AL,Escambia County,0,38.74,49.7
AL,Etowah County,1,56.49,51.6
AL,Fayette County,0,51.18,51.31
AL,Franklin County,0,42.24,49.68
AL,Geneva County,1,46.86,51.17
AL,Greene County,0,52.08,52.79
AL,Hale County,1,45.71,52.56
AL,Henry County,1,51.38,51.71
AL,Houston County,1,59.2,52.18
AL,Jackson County,0,45.42,50.86
AL,Jefferson County,1,68.65,52.74
AL,Lamar County,0,47.55,51.03
AL,Lauderdale County,1,57.6,52.02
AL,Lawrence County,1,48.37,51.3
AL,Lee County,1,74.19,50.87
AL,Limestone County,1,57.56,50.01
AL,Lowndes County,1,36.01,53.01
AL,Macon County,0,55.77,54.52
AL,Madison County,1,73.63,51.1
AL,Marengo County,0,51.75,53.14
AL,Marion County,0,55.89,50.77
AL,Marshall County,0,53,50.69
AL,Mobile County,1,59.03,52.48
AL,Monroe County,0,38.84,52.4
AL,Montgomery County,1,63.44,53.02
AL,Morgan County,1,56.1,50.8
AL,Perry County,0,61.99,53.47
AL,Pickens County,1,54.49,49.75
AL,Pike County,0,59.11,51.93
AL,Randolph County,0,49.3,51.25
AL,Russell County,1,61.67,52.09
AL,St. Clair County,1,55.6,50.45
AL,Shelby County,1,77.01,51.68
AL,Sumter County,0,64.38,54.26
AL,Talladega County,0,52.13,51.89
AL,Tallapoosa County,0,49.06,51.54
AL,Tuscaloosa County,1,64.49,51.86
AL,Walker County,1,52.07,51.23
AL,Washington County,0,52.22,50.99
AL,Wilcox County,0,41.48,52.55
AL,Winston County,0,49.88,50.79
AK,Aleutians East Borough,0,45.17,32.48
AK,Aleutians West Census Area,0,54.84,34.04
AK,Anchorage Borough,1,71.95,49.14
AK,Bethel Census Area,0,33.28,48.41
AK,Bristol Bay Borough,0,57.87,47.61
AK,Denali Borough,0,71.45,44.06
AK,Dillingham Census Area,0,50.23,49.29
AK,Fairbanks North Star Borough,1,72.81,46.21
AK,Haines Borough,0,71.97,50.16
AK,Hoonah-Angoon Census Area,0,43.95,46.79
AK,Juneau Borough,0,75.61,49.14
AK,Kenai Peninsula Borough,0,59.87,47.84
AK,Ketchikan Gateway Borough,0,62.09,48.87
AK,Kodiak Island Borough,0,64.77,46.93
AK,Kusilvak Census Area,NA,20.95,47.34
AK,Lake and Peninsula Borough,0,50.47,48.93
AK,Matanuska-Susitna Borough,1,58.17,48.11
AK,Nome Census Area,0,40.85,47.35
AK,North Slope Borough,0,50.6,37.64
AK,Northwest Arctic Borough,0,30.07,46.21
AK,Petersburg Census Area,0,61.01,48.07
AK,Prince of Wales-Hyder Census Area,0,50.82,45.09
AK,Sitka Borough,0,68.6,49.03
AK,Skagway Municipality,0,60.81,47.59
AK,Southeast Fairbanks Census Area,0,50.26,44.97
AK,Valdez-Cordova Census Area,0,55.85,46.98
AK,Wrangell City,0,52.67,48
AK,Yakutat Borough,0,69.49,44.56
AK,Yukon-Koyukuk Census Area,0,48.06,47.23
AZ,Apache County,0,51.14,50.64
AZ,Cochise County,1,63.67,49.37
AZ,Coconino County,1,70.5,50.71
AZ,Gila County,0,51.43,50.41
AZ,Graham County,0,55.66,46.42
AZ,Greenlee County,0,55.12,48.24
AZ,La Paz County,0,38.61,48.74
AZ,Maricopa County,1,65.69,50.57
AZ,Mohave County,1,47.85,49.41
AZ,Navajo County,0,51.09,49.99
AZ,Pima County,1,66.66,50.77
AZ,Pinal County,1,54.16,47.93
AZ,Santa Cruz County,0,52.6,51.79
AZ,Yavapai County,1,60.05,51.14
AZ,Yuma County,1,56.48,48.5
AR,Arkansas County,0,55.4,51.75
AR,Ashley County,0,50.39,51.26
AR,Baxter County,0,61.23,51.48
AR,Benton County,1,62.82,50.25
AR,Boone County,0,60.76,50.72
AR,Bradley County,0,46.96,51.03
AR,Calhoun County,0,55.21,49.47
AR,Carroll County,0,44.12,50.17
AR,Chicot County,0,47.54,49.62
AR,Clark County,0,62.28,52.52
AR,Clay County,0,51.22,51.19
AR,Cleburne County,0,41.59,50.88
AR,Cleveland County,1,49.45,50.5
AR,Columbia County,0,56.14,51.71
AR,Conway County,0,52.72,50.78
AR,Craighead County,1,61.83,51.46
AR,Crawford County,1,53.74,50.64
AR,Crittenden County,1,55.49,52.49
AR,Cross County,0,51.12,51.42
AR,Dallas County,0,50.55,50.55
AR,Desha County,0,45.88,52.83
AR,Drew County,0,66.43,51.3
AR,Faulkner County,1,66.79,51.2
AR,Franklin County,0,58.83,50.12
AR,Fulton County,0,60.53,50.63
AR,Garland County,1,61.57,51.92
AR,Grant County,1,54.78,50.64
AR,Greene County,0,50.41,50.72
AR,Hempstead County,0,61.45,51.57
AR,Hot Spring County,0,52.68,47.75
AR,Howard County,0,54.32,51.73
AR,Independence County,0,56.16,51.15
AR,Izard County,0,48.16,48.1
AR,Jackson County,0,42.96,50.37
AR,Jefferson County,1,49,50.61
AR,Johnson County,0,39.34,50.5
AR,Lafayette County,0,49.78,51.12
AR,Lawrence County,0,58.17,51.02
AR,Lee County,0,38.78,43.74
AR,Lincoln County,1,33.2,38.61
AR,Little River County,1,49.77,51.84
AR,Logan County,0,49.47,50.15
AR,Lonoke County,1,58.22,50.95
AR,Madison County,1,38.24,49.93
AR,Marion County,0,51.81,51
AR,Miller County,1,56.78,50.77
