state,fips,county_name,adult_smoking,adult_obesity,teen_births,flu_vaccinations,some_college,life_expectancy,food_insecurity,uninsured_children,metro,access_to_exercise_opportunities
AL,1001,Autauga County,0.198,0.33,23.764,0.42,0.605,77.163,0.156,0.025,1,0.6913
AL,1003,Baldwin County,0.185,0.3,26.007,0.46,0.671,78.213,0.129,0.038,1,0.7371
AL,1005,Barbour County,0.255,0.412,37.114,0.39,0.356,74.055,0.219,0.034,0,0.5317
AL,1007,Bibb County,0.231,0.374,37.786,0.4,0.401,73.409,0.151,0.029,1,0.1625
AL,1009,Blount County,0.23,0.33,31.24,0.4,0.558,74.371,0.136,0.045,1,0.1563
AL,1011,Bullock County,0.249,0.466,45.502,0.29,0.322,74.44,0.205,0.026,0,0.025
AL,1013,Butler County,0.228,0.468,36.93,0.35,0.403,74.154,0.191,0.029,0,0.4858
AL,1015,Calhoun County,0.212,0.397,32.317,0.4,0.588,73.457,0.174,0.029,1,0.4772
AL,1017,Chambers County,0.232,0.423,42.288,0.43,0.498,75.022,0.164,0.027,0,0.6186
AL,1019,Cherokee County,0.236,0.384,32.68,0.5,0.48,74.478,0.156,0.036,0,0.3343
AL,1021,Chilton County,0.234,0.419,44.519,0.42,0.401,74.908,0.158,0.045,1,0.4629
AL,1023,Choctaw County,0.233,0.472,31.7,0.34,0.597,74.709,0.207,0.041,0,0.2893
AL,1025,Clarke County,0.243,0.361,39.183,0.3,0.41,74.563,0.211,0.031,0,0.2527
AL,1027,Clay County,0.252,0.373,35.818,0.44,0.342,74.9,0.159,0.046,0,0.6378
AL,1029,Cleburne County,0.241,0.34,31.703,0.41,0.456,74.417,0.175,0.041,0,0.4148
AL,1031,Coffee County,0.214,0.367,26.082,0.38,0.644,76.444,0.156,0.034,0,0.5372
AL,1033,Colbert County,0.22,0.37,31.385,0.47,0.526,74.626,0.164,0.029,1,0.5573
AL,1035,Conecuh County,0.258,0.421,35.629,0.45,0.394,73.089,0.195,0.034,0,0.3702
AL,1037,Coosa County,0.246,0.448,37.349,0.42,0.401,74.921,0.164,0.044,0,0.0642
AL,1039,Covington County,0.234,0.358,41.661,0.4,0.526,73.728,0.177,0.036,0,0.5023
AL,1041,Crenshaw County,0.231,0.353,33.124,0.4,0.472,74.398,0.166,0.044,0,0.2235
AL,1043,Cullman County,0.226,0.357,38.159,0.44,0.531,74.471,0.151,0.038,0,0.4165
AL,1045,Dale County,0.215,0.418,33.745,0.42,0.58,75.342,0.18,0.028,0,0.4639
AL,1047,Dallas County,0.249,0.422,36.407,0.36,0.52,72.229,0.227,0.025,0,0.5964
AL,1049,DeKalb County,0.251,0.303,37.233,0.44,0.457,74.513,0.166,0.05,0,0.4504
AL,1051,Elmore County,0.193,0.348,26.346,0.41,0.549,76.296,0.143,0.03,1,0.5173
AL,1053,Escambia County,0.254,0.365,42.548,0.37,0.387,73.423,0.194,0.039,0,0.4813
AL,1055,Etowah County,0.231,0.362,39.101,0.38,0.565,73.325,0.166,0.029,1,0.4949
AL,1057,Fayette County,0.243,0.376,37.461,0.47,0.512,74.533,0.183,0.035,0,0.3416
AL,1059,Franklin County,0.227,0.366,46.672,0.4,0.422,74.985,0.157,0.051,0,0.5815
AL,1061,Geneva County,0.252,0.413,43.406,0.45,0.469,73.655,0.19,0.036,1,0.2021
AL,1063,Greene County,0.268,0.38,48.516,0.32,0.521,74.879,0.261,0.032,0,0.0622
AL,1065,Hale County,0.24,0.453,34.661,0.34,0.457,72.798,0.207,0.031,1,0.299
AL,1067,Henry County,0.231,0.35,27.337,0.41,0.514,76.016,0.151,0.04,1,0.2531
AL,1069,Houston County,0.224,0.385,32.752,0.44,0.592,76.137,0.169,0.024,1,0.6654
AL,1071,Jackson County,0.239,0.356,34.281,0.44,0.454,73.967,0.172,0.036,0,0.4719
AL,1073,Jefferson County,0.185,0.346,26.736,0.47,0.686,74.622,0.161,0.029,1,0.7863
AL,1075,Lamar County,0.244,0.339,38.807,0.43,0.475,74.988,0.183,0.04,0,0.1031
AL,1077,Lauderdale County,0.2,0.323,21.845,0.51,0.576,76.604,0.149,0.032,1,0.6549
AL,1079,Lawrence County,0.242,0.327,36.563,0.4,0.484,74.09,0.165,0.039,1,0.4899
AL,1081,Lee County,0.193,0.308,15.615,0.45,0.742,77.878,0.155,0.033,1,0.6775
AL,1083,Limestone County,0.203,0.33,23.197,0.48,0.576,77.659,0.141,0.035,1,0.6097
AL,1085,Lowndes County,0.263,0.436,30.843,0.38,0.36,71.151,0.234,0.027,1,0.0487
AL,1087,Macon County,0.225,0.509,21.597,0.34,0.558,72.838,0.202,0.024,0,0.3134
AL,1089,Madison County,0.171,0.338,18.884,0.47,0.736,77.703,0.136,0.031,1,0.6931
AL,1091,Marengo County,0.231,0.45,26.173,0.36,0.518,72.315,0.201,0.031,0,0.4294
AL,1093,Marion County,0.242,0.382,40.062,0.39,0.559,74.547,0.178,0.034,0,0.4703
AL,1095,Marshall County,0.23,0.37,44.832,0.49,0.53,74.878,0.162,0.039,0,0.5442
AL,1097,Mobile County,0.208,0.378,32.895,0.42,0.59,75.235,0.168,0.029,1,0.7022
AL,1099,Monroe County,0.255,0.432,35,0.36,0.388,74.289,0.219,0.032,0,0.5154
AL,1101,Montgomery County,0.199,0.371,36.075,0.4,0.634,76.506,0.178,0.031,1,0.7378
AL,1103,Morgan County,0.208,0.356,36.433,0.45,0.561,75.327,0.149,0.037,1,0.5923
AL,1105,Perry County,0.273,0.468,24.24,0.24,0.62,72.337,0.27,0.027,0,0.5272
AL,1107,Pickens County,0.236,0.388,33.392,0.46,0.545,76.174,0.197,0.039,1,0.0588
AL,1109,Pike County,0.215,0.383,16.981,0.39,0.591,74.992,0.188,0.033,0,0.5142
AL,1111,Randolph County,0.231,0.34,38.648,0.33,0.493,73.56,0.156,0.034,0,0.4067
AL,1113,Russell County,0.223,0.389,35.842,0.42,0.617,73.742,0.182,0.027,1,0.6435
AL,1115,St. Clair County,0.215,0.367,29.451,0.43,0.556,75.53,0.141,0.03,1,0.4233
AL,1117,Shelby County,0.15,0.377,12.791,0.46,0.77,80.737,0.106,0.025,1,0.837
AL,1119,Sumter County,0.231,0.431,23,0.31,0.644,73.681,0.23,0.034,0,0.3632
AL,1121,Talladega County,0.24,0.39,29.641,0.36,0.521,73.321,0.177,0.029,0,0.4802
AL,1123,Tallapoosa County,0.239,0.345,37.899,0.47,0.491,74.703,0.175,0.036,0,0.6881
AL,1125,Tuscaloosa County,0.2,0.361,20.654,0.46,0.645,76.667,0.148,0.03,1,0.7566
AL,1127,Walker County,0.247,0.394,44.026,0.42,0.521,70.532,0.18,0.035,1,0.4398
AL,1129,Washington County,0.243,0.319,30.303,0.28,0.522,75.656,0.193,0.046,0,0.1829
AL,1131,Wilcox County,0.258,0.498,41.319,0.23,0.415,70.809,0.247,0.034,0,0.0574
AL,1133,Winston County,0.25,0.356,40.229,0.41,0.499,74.935,0.171,0.041,0,0.7637
AK,2013,Aleutians East Borough,0.21,0.519,,,0.452,113.462,0.116,0.115,0,1
AK,2016,Aleutians West Census Area,0.192,0.423,,,0.548,86.029,0.113,0.113,0,1
AK,2020,Anchorage Borough,0.17,0.302,22.117,0.4,0.72,79.305,0.115,0.076,1,1
AK,2050,Bethel Census Area,0.35,0.341,60.419,0.07,0.333,71.591,0.211,0.083,0,1
AK,2060,Bristol Bay Borough,0.218,0.428,,0.35,0.579,,0.122,0.13,0,1
AK,2068,Denali Borough,0.186,0.234,,,0.715,79.774,0.149,0.08,0,1
AK,2070,Dillingham Census Area,0.302,0.309,41.348,0.19,0.502,71.851,0.161,0.106,0,1
AK,2090,Fairbanks North Star Borough,0.174,0.31,24.308,0.36,0.728,80.468,0.115,0.08,1,1
AK,2100,Haines Borough,0.179,0.291,,0.35,0.72,87.466,0.133,0.101,0,1
AK,2105,Hoonah-Angoon Census Area,0.236,0.304,31.941,,0.439,84.211,0.155,0.149,0,
AK,2110,Juneau Borough,0.159,0.264,11.864,0.46,0.756,81.05,0.104,0.07,0,1
AK,2122,Kenai Peninsula Borough,0.214,0.33,18.738,,0.599,78.992,0.139,0.103,0,1
AK,2130,Ketchikan Gateway Borough,0.203,0.388,21.168,0.44,0.621,80.06,0.131,0.109,0,1
AK,2150,Kodiak Island Borough,0.188,0.283,17.876,0.41,0.648,81.128,0.123,0.139,0,1
AK,2158,Kusilvak Census Area,0.446,0.231,84.356,0.11,0.21,67.192,0.28,0.073,,
AK,2164,Lake and Peninsula Borough,0.29,0.375,,,0.505,,0.173,0.123,0,1
AK,2170,Matanuska-Susitna Borough,0.202,0.346,16.901,0.33,0.582,79.606,0.126,0.104,1,1
AK,2180,Nome Census Area,0.339,0.403,57.065,0.04,0.408,70.492,0.191,0.102,0,1
AK,2185,North Slope Borough,0.253,0.44,56.131,,0.506,76.866,0.131,0.103,0,1
AK,2188,Northwest Arctic Borough,0.342,0.452,70.809,,0.301,71.111,0.212,0.091,0,1
AK,2195,Petersburg Census Area,0.199,0.255,,,0.61,81.398,0.138,0.118,0,
AK,2198,Prince of Wales-Hyder Census Area,0.269,0.401,17.391,,0.508,74.934,0.178,0.136,0,
AK,2220,Sitka Borough,0.176,0.257,11.384,0.39,0.686,81.315,0.11,0.103,0,1
AK,2230,Skagway Municipality,0.167,0.259,,0.33,0.608,,0.13,0.086,0,
AK,2240,Southeast Fairbanks Census Area,0.223,0.326,31.548,0.25,0.503,78.476,0.148,0.129,0,1
AK,2261,Valdez-Cordova Census Area,0.192,0.34,14.627,,0.558,78.782,0.119,0.097,0,1
AK,2275,Wrangell City,0.231,0.361,,,0.527,78.531,0.132,0.138,0,
AK,2282,Yakutat Borough,0.238,0.376,,,0.695,,0.119,0.125,0,1
AK,2290,Yukon-Koyukuk Census Area,0.325,0.307,34.712,0.27,0.481,71.981,0.22,0.116,0,1
AZ,4001,Apache County,0.25,0.354,34.022,0.36,0.511,73.1,0.226,0.142,0,0.1929
AZ,4003,Cochise County,0.173,0.309,31.447,0.33,0.637,78.729,0.144,0.075,1,0.5967
AZ,4005,Coconino County,0.171,0.245,16.214,0.39,0.705,79.121,0.143,0.091,1,0.8288
AZ,4007,Gila County,0.229,0.311,47.789,0.39,0.514,74.321,0.177,0.1,0,0.9151
AZ,4009,Graham County,0.2,0.339,38.668,0.39,0.557,77.71,0.146,0.086,0,0.556
AZ,4011,Greenlee County,0.169,0.302,38.902,0.29,0.551,81.003,0.118,0.056,0,0.4614
AZ,4012,La Paz County,0.215,0.33,48.398,0.3,0.386,77.16,0.175,0.144,0,0.3906
AZ,4013,Maricopa County,0.154,0.271,23.371,0.48,0.657,80.48,0.121,0.083,1,0.916
AZ,4015,Mohave County,0.246,0.307,29.73,0.39,0.478,76.011,0.168,0.08,1,0.5857
AZ,4017,Navajo County,0.235,0.333,39.753,0.39,0.511,73.869,0.202,0.084,0,0.5635
AZ,4019,Pima County,0.17,0.254,22.078,0.48,0.667,79.508,0.136,0.081,1,0.8785
AZ,4021,Pinal County,0.189,0.342,25.931,0.44,0.542,82.577,0.127,0.081,1,0.6605
AZ,4023,Santa Cruz County,0.157,0.301,32.482,0.35,0.526,83.086,0.153,0.122,0,0.6666
AZ,4025,Yavapai County,0.179,0.243,25.378,0.43,0.6,78.974,0.139,0.107,1,0.8453
